DATE,COUNTRY,CITY,VALUE
24-06-2020,IN,Bengaluru,67
25-06-2020,IN,Bengaluru,58
26-06-2020,IN,Bengaluru,58
27-06-2020,IN,Bengaluru,60
28-06-2020,IN,Bengaluru,58
29-06-2020,IN,Bengaluru,64
29-06-2020,IN,Bengaluru,64
30-06-2020,IN,Bengaluru,57
30-06-2020,IN,Bengaluru,57
01-07-2020,IN,Bengaluru,68
02-07-2020,IN,Bengaluru,140
03-07-2020,IN,Bengaluru,118
04-07-2020,IN,Bengaluru,54
05-07-2020,IN,Bengaluru,85
06-07-2020,IN,Bengaluru,59
07-07-2020,IN,Bengaluru,58
08-07-2020,IN,Bengaluru,62
09-07-2020,IN,Bengaluru,57
10-07-2020,IN,Bengaluru,89
11-07-2020,IN,Bengaluru,61
12-07-2020,IN,Bengaluru,58
13-07-2020,IN,Bengaluru,65
14-07-2020,IN,Bengaluru,60
15-07-2020,IN,Bengaluru,55
16-07-2020,IN,Bengaluru,50
17-07-2020,IN,Bengaluru,56
18-07-2020,IN,Bengaluru,55
19-07-2020,IN,Bengaluru,55
20-07-2020,IN,Bengaluru,57
21-07-2020,IN,Bengaluru,43
22-07-2020,IN,Bengaluru,85
23-07-2020,IN,Bengaluru,74
24-07-2020,IN,Bengaluru,60
25-07-2020,IN,Bengaluru,56
26-07-2020,IN,Bengaluru,57
27-07-2020,IN,Bengaluru,62
28-07-2020,IN,Bengaluru,58
29-07-2020,IN,Bengaluru,61
30-07-2020,IN,Bengaluru,55
31-07-2020,IN,Bengaluru,59
01-08-2020,IN,Bengaluru,91
02-08-2020,IN,Bengaluru,122
03-08-2020,IN,Bengaluru,99
04-08-2020,IN,Bengaluru,62
05-08-2020,IN,Bengaluru,61
06-08-2020,IN,Bengaluru,65
07-08-2020,IN,Bengaluru,54
08-08-2020,IN,Bengaluru,62
09-08-2020,IN,Bengaluru,57
10-08-2020,IN,Bengaluru,116
11-08-2020,IN,Bengaluru,78
12-08-2020,IN,Bengaluru,61
13-08-2020,IN,Bengaluru,75
14-08-2020,IN,Bengaluru,73
15-08-2020,IN,Bengaluru,73
16-08-2020,IN,Bengaluru,73
17-08-2020,IN,Bengaluru,68
